Meal,Preperation Time,Cooking Time,Calories,Fat,Cholesterol,Carbs,Fiber,Protein,Lookup Ingredients,new_ingredients,modified_ingredients
Dinner,30.0,45.0,575,30.0,14.0,41.0,5.0,33.0,"['parsley', 'oil', 'garlic', 'sugar', 'chicken', 'penne', 'tomatoes', 'mascarpone']",parsley oil garlic sugar chicken penne tomatoes mascarpone,parsley oil garlic sugar chicken penne tomato mascarpone
Dinner,10.0,0.0,595,51.0,30.0,33.0,0.0,3.0,"['cream', 'extra', 'sugar', 'mascarpone']",cream extra sugar mascarpone,cream extra sugar mascarpone
Dinner,15.0,45.0,387,25.0,18.0,32.0,7.0,6.0,"['spinach', 'butter', 'garlic', 'coconut', 'lime', 'red', 'rice', 'milk', 'ginger', 'peanuts']",spinach butter garlic coconut lime red rice milk ginger peanuts,spinach butter garlic coconut lime red rice milk ginger peanut
Dinner,5.0,45.0,354,23.0,4.0,10.0,3.0,24.0,"['almonds', 'leaves', 'oil', 'garlic', 'coriander', 'chicken', 'naan', 'tomatoes', 'ginger']",almonds leaves oil garlic coriander chicken naan tomatoes ginger,almond leaf oil garlic coriander chicken naan tomato ginger
Dinner,20.0,450.0,599,43.0,15.0,17.0,4.0,33.0,"['curry', 'oil', 'garlic', 'malt', 'sugar', 'coriander', 'cardamom', 'chicken', 'naan', 'passata', 'cinnamon', 'cream', 'ginger', 'basmati']",curry oil garlic malt sugar coriander cardamom chicken naan passata cinnamon cream ginger basmati,curry oil garlic malt sugar coriander cardamom chicken naan passata cinnamon cream ginger basmati
Dinner,15.0,55.0,618,27.0,14.0,59.0,9.0,26.0,"['baguette', 'butter', 'oil', 'garlic', 'sugar', 'onions', 'wine', 'beef', 'flour']",baguette butter oil garlic sugar onions wine beef flour,baguette butter oil garlic sugar onion wine beef flour
Dinner,10.0,50.0,565,28.0,13.0,34.0,6.0,42.0,"['tomatoes', 'oil', 'garlic', 'sugar', 'turkey', 'salad', 'fennel', 'oregano']",tomatoes oil garlic sugar turkey salad fennel oregano,tomato oil garlic sugar turkey salad fennel oregano
Dinner,5.0,15.0,511,13.0,2.0,72.0,7.0,22.0,"['oil', 'prawns', 'harissa', 'broccoli', 'clove', 'spaghetti', 'tomatoes', 'lemon']",oil prawns harissa broccoli clove spaghetti tomatoes lemon,oil prawn harissa broccoli clove spaghetti tomato lemon
Dinner,25.0,0.0,296,20.0,12.0,25.0,2.0,3.0,"['chocolate', 'butter', 'cheese', 'sugar', 'extra', 'cream', 'biscuits', 'cocoa']",chocolate butter cheese sugar extra cream biscuits cocoa,chocolate butter cheese sugar extra cream biscuit cocoa
Dinner,15.0,40.0,383,15.0,5.0,16.0,5.0,44.0,"['parsley', 'paprika', 'garlic', 'chorizo', 'chicken', 'red', 'potatoes', 'tomatoes', 'lemon']",parsley paprika garlic chorizo chicken red potatoes tomatoes lemon,parsley paprika garlic chorizo chicken red potato tomato lemon
Dinner,20.0,35.0,373,17.0,4.0,9.0,3.0,43.0,"['oil', 'garlic', 'coriander', 'cumin', 'chicken', 'naan', 'red', 'rice', 'tomatoes', 'ginger']",oil garlic coriander cumin chicken naan red rice tomatoes ginger,oil garlic coriander cumin chicken naan red rice tomato ginger
Dinner,5.0,15.0,826,42.0,20.0,80.0,10.0,27.0,"['parsley', 'tagliatelle', 'butter', 'oil', 'paprika', 'pork', 'mustard', 'beef', 'mushrooms', 'cream']",parsley tagliatelle butter oil paprika pork mustard beef mushrooms cream,parsley tagliatelle butter oil paprika pork mustard beef mushroom cream
Dinner,25.0,210.0,396,20.0,6.0,9.0,3.0,34.0,"['leaves', 'oil', 'garlic', 'carrots', 'pappardelle', 'beef', 'onions', 'celery', 'red', 'tomatoes', 'rosemary']",leaves oil garlic carrots pappardelle beef onions celery red tomatoes rosemary,leaf oil garlic carrot pappardelle beef onion celery red tomato rosemary
Dinner,15.0,20.0,391,24.0,14.0,36.0,2.0,6.0,"['chocolate', 'butter', 'sugar', 'extra', 'eggs', 'cream', 'flour', 'extract']",chocolate butter sugar extra eggs cream flour extract,chocolate butter sugar extra egg cream flour extract
Dinner,30.0,15.0,91,4.0,1.0,6.0,0.0,6.0,"['leaves', 'oil', 'garlic', 'pastry', 'turkey', 'sauce', 'seeds', 'onions', 'red', 'ginger']",leaves oil garlic pastry turkey sauce seeds onions red ginger,leaf oil garlic pastry turkey sauce seed onion red ginger
Dinner,10.0,60.0,453,10.0,2.0,62.0,11.0,24.0,"['stock', 'cheese', 'oil', 'carrots', 'passata', 'clove', 'celery', 'spaghetti', 'milk', 'basil']",stock cheese oil carrots passata clove celery spaghetti milk basil,stock cheese oil carrot passata clove celery spaghetti milk basil
Dinner,5.0,35.0,758,24.0,11.0,93.0,5.0,40.0,"['grana', 'butter', 'oil', 'pancetta', 'extra', 'eggs', 'breast', 'clove', 'spaghetti']",grana butter oil pancetta extra eggs breast clove spaghetti,grana butter oil pancetta extra egg breast clove spaghetti
Dinner,15.0,35.0,419,19.0,8.0,45.0,10.0,11.0,"['stock', 'oil', 'garlic', 'carrots', 'extra', 'onions', 'potatoes']",stock oil garlic carrots extra onions potatoes,stock oil garlic carrot extra onion potato
Dinner,15.0,25.0,681,51.0,29.0,23.0,3.0,25.0,"['parsley', 'tagliatelle', 'butter', 'oil', 'extra', 'zest', 'wine', 'clove', 'lemon', 'cream']",parsley tagliatelle butter oil extra zest wine clove lemon cream,parsley tagliatelle butter oil extra zest wine clove lemon cream
Dinner,10.0,40.0,701,30.0,9.0,65.0,7.0,32.0,"['spinach', 'parsley', 'butter', 'oil', 'leaves', 'extra', 'risotto', 'chicken', 'thyme', 'clove', 'wine', 'nutmeg', 'lemon', 'prosciutto', 'cream']",spinach parsley butter oil leaves extra risotto chicken thyme clove wine nutmeg lemon prosciutto cream,spinach parsley butter oil leaf extra risotto chicken thyme clove wine nutmeg lemon prosciutto cream
Dinner,10.0,35.0,487,14.0,2.0,47.0,7.0,40.0,"['cod', 'beans', 'oil', 'coriander', 'peas', 'eggs', 'onions', 'basmati']",cod beans oil coriander peas eggs onions basmati,cod bean oil coriander pea egg onion basmati
Dinner,5.0,22.0,463,19.0,6.0,44.0,7.0,25.0,"['stock', 'butter', 'chives', 'fusilli', 'peas', 'fillets']",stock butter chives fusilli peas fillets,stock butter chive fusilli pea fillet
Dinner,10.0,30.0,610,37.0,12.0,22.0,9.0,43.0,"['spinach', 'oil', 'beans', 'chicken', 'pork', 'mustard', 'clove']",spinach oil beans chicken pork mustard clove,spinach oil bean chicken pork mustard clove
Dinner,10.0,45.0,158,6.0,1.0,26.0,6.0,2.0,"['red', 'carrots', 'oil', 'honey']",red carrots oil honey,red carrot oil honey
Dinner,35.0,0.0,534,43.0,27.0,29.0,1.0,6.0,"['cheese', 'butter', 'chocolate', 'sugar', 'extra', 'sprinkles', 'cocoa', 'cream', 'biscuits', 'mascarpone']",cheese butter chocolate sugar extra sprinkles cocoa cream biscuits mascarpone,cheese butter chocolate sugar extra sprinkle cocoa cream biscuit mascarpone
Dinner,5.0,0.0,250,18.0,8.0,14.0,0.0,8.0,"['honey', 'butter', 'crackers', 'juice', 'cinnamon', 'celery']",honey butter crackers juice cinnamon celery,honey butter cracker juice cinnamon celery
Dinner,10.0,35.0,547,15.0,2.2,77.0,17.0,18.0,"['parsley', 'paprika', 'pepper', 'oil', 'garlic', 'beans', 'celery', 'bouillon', 'tomatoes', 'basmati', 'oregano']",parsley paprika pepper oil garlic beans celery bouillon tomatoes basmati oregano,parsley paprika pepper oil garlic bean celery bouillon tomato basmati oregano
Dinner,10.0,40.0,571,30.0,7.0,36.0,7.0,37.0,"['spinach', 'honey', 'oil', 'garlic', 'peas', 'chicken', 'mustard', 'juice', 'potatoes']",spinach honey oil garlic peas chicken mustard juice potatoes,spinach honey oil garlic pea chicken mustard juice potato
Dinner,5.0,10.0,366,12.0,2.0,16.0,7.0,44.0,"['spinach', 'parsley', 'chickpeas', 'pepper', 'oil', 'chicken', 'red', 'lemon']",spinach parsley chickpeas pepper oil chicken red lemon,spinach parsley chickpea pepper oil chicken red lemon
Dinner,10.0,40.0,664,26.0,5.0,58.0,14.0,42.0,"['parsley', 'oil', 'garlic', 'salmon', 'coriander', 'extra', 'thyme', 'onions', 'red', 'lime', 'bouillon', 'tomatoes', 'basmati']",parsley oil garlic salmon coriander extra thyme onions red lime bouillon tomatoes basmati,parsley oil garlic salmon coriander extra thyme onion red lime bouillon tomato basmati
Dinner,5.0,20.0,125,10.0,6.0,0.0,0.0,9.0,"['cheese', 'kirsch', 'crackers', 'thyme', 'wine', 'camembert', 'vermouth']",cheese kirsch crackers thyme wine camembert vermouth,cheese kirsch cracker thyme wine camembert vermouth
Dinner,35.0,70.0,606,30.0,18.0,47.0,3.0,36.0,"['spinach', 'butter', 'ricotta', 'dijon', 'cayenne', 'ham', 'nutmeg', 'milk', 'flour', 'lasagne']",spinach butter ricotta dijon cayenne ham nutmeg milk flour lasagne,spinach butter ricotta dijon cayenne ham nutmeg milk flour lasagne
Dinner,10.0,55.0,484,12.0,5.0,54.0,12.0,34.0,"['oil', 'garlic', 'beans', 'sugar', 'coriander', 'extra', 'tortillas', 'salad', 'chicken', 'passata', 'red']",oil garlic beans sugar coriander extra tortillas salad chicken passata red,oil garlic bean sugar coriander extra tortilla salad chicken passata red
Dinner,10.0,40.0,504,22.0,12.0,47.0,5.0,28.0,"['parsley', 'butter', 'dijon', 'peas', 'salad', 'macaroni', 'milk', 'flour', 'fish']",parsley butter dijon peas salad macaroni milk flour fish,parsley butter dijon pea salad macaroni milk flour fish
Dinner,10.0,10.0,301,9.0,2.0,44.0,4.0,9.0,"['oil', 'garlic', 'peas', 'eggs', 'sauce', 'onions', 'pineapple', 'rice']",oil garlic peas eggs sauce onions pineapple rice,oil garlic pea egg sauce onion pineapple rice
Dinner,15.0,60.0,564,24.0,8.0,53.0,12.0,28.0,"['chickpeas', 'oil', 'garlic', 'fat', 'leaves', 'broccoli', 'red', 'potatoes', 'tomatoes', 'florets', 'basil']",chickpeas oil garlic fat leaves broccoli red potatoes tomatoes florets basil,chickpea oil garlic fat leaf broccoli red potato tomato floret basil
Dinner,20.0,5.0,198,11.0,6.0,18.0,2.0,6.0,"['marshmallows', 'chocolate', 'cake', 'milk']",marshmallows chocolate cake milk,marshmallow chocolate cake milk
Dinner,25.0,60.0,484,33.0,26.0,31.0,10.0,11.0,"['leaves', 'butternut', 'cardamom', 'ginger', 'chickpeas', 'cumin', 'kale', 'seeds', 'clove', 'tamarind', 'lemongrass', 'mustard', 'fenugreek', 'basmati', 'curry', 'peppercorns', 'coriander', 'coconut', 'red', 'milk']",leaves butternut cardamom ginger chickpeas cumin kale seeds clove tamarind lemongrass mustard fenugreek basmati curry peppercorns coriander coconut red milk,leaf butternut cardamom ginger chickpea cumin kale seed clove tamarind lemongrass mustard fenugreek basmati curry peppercorn coriander coconut red milk
Dinner,40.0,80.0,669,38.0,15.0,63.0,8.0,13.0,"['lentils', 'leaves', 'oil', 'fat', 'butternut', 'pastry', 'extra', 'chestnuts', 'sumac', 'kale', 'red', 'milk', 'lemon']",lentils leaves oil fat butternut pastry extra chestnuts sumac kale red milk lemon,lentil leaf oil fat butternut pastry extra chestnut sumac kale red milk lemon
Dinner,10.0,15.0,86,3.0,0.3,13.0,2.0,2.0,"['almonds', 'cinnamon', 'bananas', 'oats', 'raspberries']",almonds cinnamon bananas oats raspberries,almond cinnamon banana oat raspberry
Dinner,50.0,0.0,0,0.0,0.0,0.0,0.0,0.0,"['leaves', 'oil', 'garlic', 'beef', 'celery', 'spaghetti']",leaves oil garlic beef celery spaghetti,leaf oil garlic beef celery spaghetti
Dinner,10.0,45.0,401,22.0,5.0,17.0,6.0,30.0,"['honey', 'oil', 'florets', 'chicken', 'broccoli', 'sauce', 'seeds', 'rice', 'ginger']",honey oil florets chicken broccoli sauce seeds rice ginger,honey oil floret chicken broccoli sauce seed rice ginger
Dinner,5.0,15.0,553,32.0,14.0,29.0,8.0,32.0,"['curry', 'spinach', 'oil', 'paneer', 'coconut', 'eggs', 'red']",curry spinach oil paneer coconut eggs red,curry spinach oil paneer coconut egg red
Dinner,10.0,45.0,214,8.0,3.0,26.0,3.0,7.0,"['sage', 'butter', 'oil', 'clove']",sage butter oil clove,sage butter oil clove
Dinner,5.0,40.0,240,17.0,5.0,13.0,3.0,7.0,"['butter', 'masala', 'oil', 'garlic', 'ginger', 'coriander', 'naan', 'seeds', 'passata', 'cream', 'florets', 'cauliflower']",butter masala oil garlic ginger coriander naan seeds passata cream florets cauliflower,butter masala oil garlic ginger coriander naan seed passata cream floret cauliflower
Dinner,15.0,25.0,511,12.0,5.0,46.0,12.0,49.0,"['cod', 'leaves', 'oil', 'prawns', 'florets', 'red', 'potatoes', 'bouillon', 'tomatoes', 'clove', 'milk', 'basil', 'vinegar']",cod leaves oil prawns florets red potatoes bouillon tomatoes clove milk basil vinegar,cod leaf oil prawn floret red potato bouillon tomato clove milk basil vinegar
Dinner,30.0,45.0,528,32.0,14.0,17.0,3.0,40.0,"['parsley', 'tomatoes', 'oil', 'garlic', 'sugar', 'extra', 'fontina', 'pork', 'sourdough', 'beef', 'red', 'ciabatta', 'nutmeg', 'spaghetti', 'milk', 'marmite', 'oregano']",parsley tomatoes oil garlic sugar extra fontina pork sourdough beef red ciabatta nutmeg spaghetti milk marmite oregano,parsley tomato oil garlic sugar extra fontina pork sourdough beef red ciabatta nutmeg spaghetti milk marmite oregano
Dinner,15.0,45.0,636,28.0,6.0,43.0,6.0,49.0,"['stock', 'almonds', 'leaves', 'oil', 'coriander', 'cumin', 'cardamom', 'fillets', 'mint', 'seeds', 'cinnamon', 'red', 'clove', 'bouillon', 'ginger', 'basmati']",stock almonds leaves oil coriander cumin cardamom fillets mint seeds cinnamon red clove bouillon ginger basmati,stock almond leaf oil coriander cumin cardamom fillet mint seed cinnamon red clove bouillon ginger basmati
Dinner,10.0,35.0,513,32.0,17.0,25.0,2.0,30.0,"['spinach', 'oil', 'garlic', 'nutmeg', 'tomatoes', 'ricotta']",spinach oil garlic nutmeg tomatoes ricotta,spinach oil garlic nutmeg tomato ricotta
Dinner,5.0,15.0,320,17.0,9.0,29.0,7.0,9.0,"['curry', 'lentils', 'spinach', 'oil', 'butternut', 'extra', 'coconut', 'naan', 'onions', 'tomatoes', 'milk']",curry lentils spinach oil butternut extra coconut naan onions tomatoes milk,curry lentil spinach oil butternut extra coconut naan onion tomato milk
Dinner,20.0,20.0,736,44.0,10.0,45.0,3.0,39.0,"['lamb', 'masala', 'garlic', 'oil', 'coriander', 'cumin', 'extra', 'salt', 'chutney', 'eggs', 'chillies', 'panko', 'flour']",lamb masala garlic oil coriander cumin extra salt chutney eggs chillies panko flour,lamb masala garlic oil coriander cumin extra salt chutney egg chilli panko flour
Dinner,20.0,75.0,384,19.0,7.0,31.0,4.0,19.0,"['parsley', 'honey', 'almonds', 'butter', 'oil', 'garlic', 'coriander', 'pastry', 'cumin', 'chicken', 'apricots', 'onions', 'cinnamon', 'fennel', 'lemon']",parsley honey almonds butter oil garlic coriander pastry cumin chicken apricots onions cinnamon fennel lemon,parsley honey almond butter oil garlic coriander pastry cumin chicken apricot onion cinnamon fennel lemon
Dinner,10.0,20.0,525,25.0,4.0,28.0,16.0,40.0,"['spinach', 'leaves', 'oil', 'beans', 'capers', 'fillets', 'potatoes', 'lemon']",spinach leaves oil beans capers fillets potatoes lemon,spinach leaf oil bean caper fillet potato lemon
Dinner,15.0,15.0,507,15.0,4.0,72.0,7.0,18.0,"['parsley', 'oil', 'eggs', 'harissa', 'herbs', 'flour']",parsley oil eggs harissa herbs flour,parsley oil egg harissa herb flour
Dinner,10.0,45.0,634,37.0,20.0,31.0,4.0,42.0,"['butter', 'salmon', 'dijon', 'peas', 'haddock', 'salad', 'kale', 'potatoes', 'milk', 'flour']",butter salmon dijon peas haddock salad kale potatoes milk flour,butter salmon dijon pea haddock salad kale potato milk flour
Dinner,5.0,10.0,274,9.0,1.0,20.0,5.0,26.0,"['oil', 'ginger', 'prawns', 'beansprouts', 'broccoli', 'sauce', 'syrup', 'seeds', 'clove', 'red', 'noodles', 'florets']",oil ginger prawns beansprouts broccoli sauce syrup seeds clove red noodles florets,oil ginger prawn beansprouts broccoli sauce syrup seed clove red noodle floret
Dinner,20.0,25.0,363,4.0,1.0,38.0,7.0,41.0,"['leaves', 'coriander', 'cumin', 'extra', 'chicken', 'mint', 'red', 'lemon', 'hummus', 'ginger']",leaves coriander cumin extra chicken mint red lemon hummus ginger,leaf coriander cumin extra chicken mint red lemon hummus ginger
Dinner,30.0,65.0,816,52.0,13.0,51.0,11.0,31.0,"['stock', 'parsley', 'butter', 'oil', 'garlic', 'paprika', 'extra', 'pecans', 'eggs', 'passata', 'red', 'celery', 'hazelnuts', 'mushrooms', 'walnuts', 'rosemary', 'oregano']",stock parsley butter oil garlic paprika extra pecans eggs passata red celery hazelnuts mushrooms walnuts rosemary oregano,stock parsley butter oil garlic paprika extra pecan egg passata red celery hazelnut mushroom walnut rosemary oregano
Dinner,10.0,80.0,444,27.0,11.0,40.0,5.0,6.0,"['oil', 'sugar', 'pastry', 'salad', 'orange', 'wine', 'red', 'anise', 'flour']",oil sugar pastry salad orange wine red anise flour,oil sugar pastry salad orange wine red anise flour
Dinner,25.0,30.0,483,47.0,26.0,8.0,1.0,6.0,"['peppercorns', 'butter', 'oil', 'garlic', 'leaves', 'cornichons', 'porcini', 'thyme', 'wine', 'mushrooms', 'shallots', 'mascarpone']",peppercorns butter oil garlic leaves cornichons porcini thyme wine mushrooms shallots mascarpone,peppercorn butter oil garlic leaf cornichons porcini thyme wine mushroom shallot mascarpone
Dinner,5.0,45.0,511,28.0,5.0,21.0,4.0,40.0,"['oil', 'nuts', 'fillets', 'juice', 'red', 'potatoes', 'pesto']",oil nuts fillets juice red potatoes pesto,oil nut fillet juice red potato pesto
Dinner,15.0,15.0,487,24.0,4.0,48.0,1.0,20.0,"['oil', 'garlic', 'sugar', 'cornflour', 'chicken', 'sauce', 'seeds', 'ginger']",oil garlic sugar cornflour chicken sauce seeds ginger,oil garlic sugar cornflour chicken sauce seed ginger
Dinner,20.0,30.0,392,24.0,14.0,38.0,2.0,4.0,"['chocolate', 'butter', 'sugar', 'coffee', 'cornflour', 'eggs', 'sauce', 'truffles', 'vodka', 'milk', 'cream', 'water', 'flour', 'cocoa']",chocolate butter sugar coffee cornflour eggs sauce truffles vodka milk cream water flour cocoa,chocolate butter sugar coffee cornflour egg sauce truffle vodka milk cream water flour cocoa
Dinner,10.0,20.0,462,17.0,4.0,48.0,48.0,22.0,"['spinach', 'chickpeas', 'leaves', 'extra', 'vinegar', 'clove', 'bouillon', 'tomatoes', 'pumpkin', 'quinoa']",spinach chickpeas leaves extra vinegar clove bouillon tomatoes pumpkin quinoa,spinach chickpea leaf extra vinegar clove bouillon tomato pumpkin quinoa
Dinner,10.0,10.0,875,49.0,12.0,42.0,15.0,58.0,"['lentils', 'honey', 'oil', 'dill', 'capers', 'fillets', 'mustard', 'lemon', 'pumpkin']",lentils honey oil dill capers fillets mustard lemon pumpkin,lentil honey oil dill caper fillet mustard lemon pumpkin
Dinner,20.0,25.0,613,42.0,31.0,21.0,4.0,36.0,"['seasoning', 'leaves', 'oil', 'garlic', 'prawns', 'sugar', 'coriander', 'coconut', 'sauce', 'lime', 'red', 'potatoes', 'pumpkin', 'ginger', 'fish']",seasoning leaves oil garlic prawns sugar coriander coconut sauce lime red potatoes pumpkin ginger fish,seasoning leaf oil garlic prawn sugar coriander coconut sauce lime red potato pumpkin ginger fish
Dinner,10.0,20.0,405,21.0,8.0,38.0,4.0,18.0,"['oil', 'garlic', 'sauce', 'ricotta', 'lasagne']",oil garlic sauce ricotta lasagne,oil garlic sauce ricotta lasagne
Dinner,10.0,15.0,417,26.0,13.0,23.0,5.0,19.0,"['parsley', 'butter', 'mustard', 'flour', 'bacon']",parsley butter mustard flour bacon,parsley butter mustard flour bacon
Dinner,15.0,20.0,148,9.0,4.0,10.0,0.0,6.0,"['honey', 'oil', 'pastry', 'extra', 'mustard', 'ketchup']",honey oil pastry extra mustard ketchup,honey oil pastry extra mustard ketchup
Dinner,5.0,10.0,646,41.0,23.0,21.0,11.0,43.0,"['leaves', 'butter', 'beans', 'pancetta', 'cabbage', 'fillets', 'thyme', 'lemon', 'cream']",leaves butter beans pancetta cabbage fillets thyme lemon cream,leaf butter bean pancetta cabbage fillet thyme lemon cream
Dinner,25.0,45.0,693,39.0,16.0,77.0,2.0,7.0,"['chocolate', 'butter', 'oil', 'sugar', 'espresso', 'extra', 'eggs', 'soda', 'hazelnuts', 'cream', 'flour', 'extract']",chocolate butter oil sugar espresso extra eggs soda hazelnuts cream flour extract,chocolate butter oil sugar espresso extra egg soda hazelnut cream flour extract
Dinner,15.0,570.0,295,12.0,4.0,13.0,4.0,34.0,"['leaves', 'oil', 'garlic', 'sugar', 'carrots', 'pork', 'beef', 'onions', 'celery', 'red', 'tomatoes', 'mushrooms', 'herbs', 'spaghetti', 'bacon']",leaves oil garlic sugar carrots pork beef onions celery red tomatoes mushrooms herbs spaghetti bacon,leaf oil garlic sugar carrot pork beef onion celery red tomato mushroom herb spaghetti bacon
Dinner,5.0,65.0,469,23.0,9.0,46.0,4.0,17.0,"['spinach', 'cheese', 'gnocchi', 'oil', 'extra', 'mushrooms']",spinach cheese gnocchi oil extra mushrooms,spinach cheese gnocchi oil extra mushroom
Dinner,10.0,35.0,514,12.0,4.0,52.0,7.0,47.0,"['parsley', 'leaves', 'oil', 'fillets', 'extra', 'leeks', 'thyme', 'clove', 'bouillon', 'mushrooms', 'ricotta', 'basil', 'basmati']",parsley leaves oil fillets extra leeks thyme clove bouillon mushrooms ricotta basil basmati,parsley leaf oil fillet extra leek thyme clove bouillon mushroom ricotta basil basmati
Dinner,5.0,40.0,678,42.0,30.0,59.0,1.0,3.0,"['butter', 'sugar', 'pudding', 'extra', 'raisins', 'rum', 'milk', 'cream', 'extract']",butter sugar pudding extra raisins rum milk cream extract,butter sugar pudding extra raisin rum milk cream extract
Dinner,10.0,6.0,296,14.0,2.0,30.0,12.0,14.0,"['chickpeas', 'carrots', 'juice', 'red', 'clove', 'celery', 'tahini']",chickpeas carrots juice red clove celery tahini,chickpea carrot juice red clove celery tahini
Dinner,15.0,450.0,470,25.0,9.0,12.0,4.0,36.0,"['parsnips', 'leaves', 'oil', 'garlic', 'carrots', 'mustard', 'beef', 'red', 'celery', 'mushrooms', 'flour']",parsnips leaves oil garlic carrots mustard beef red celery mushrooms flour,parsnip leaf oil garlic carrot mustard beef red celery mushroom flour
Dinner,15.0,10.0,801,66.0,40.0,43.0,1.0,8.0,"['cheese', 'chocolate', 'butter', 'strawberries', 'extra', 'cream', 'biscuits', 'mascarpone']",cheese chocolate butter strawberries extra cream biscuits mascarpone,cheese chocolate butter strawberry extra cream biscuit mascarpone
Dinner,10.0,25.0,378,10.0,2.0,25.0,7.0,43.0,"['beans', 'dill', 'peas', 'fillets', 'cider', 'mint', 'mustard', 'potatoes', 'asparagus', 'lemon', 'water']",beans dill peas fillets cider mint mustard potatoes asparagus lemon water,bean dill pea fillet cider mint mustard potato asparagus lemon water
Dinner,10.0,25.0,452,14.0,4.0,43.0,12.0,33.0,"['spinach', 'leaves', 'oil', 'pepper', 'garlic', 'paprika', 'extra', 'onions', 'chips', 'potatoes', 'tomatoes', 'bouillon']",spinach leaves oil pepper garlic paprika extra onions chips potatoes tomatoes bouillon,spinach leaf oil pepper garlic paprika extra onion chip potato tomato bouillon
Dinner,15.0,90.0,820,54.0,21.0,46.0,7.0,33.0,"['parsley', 'butter', 'oil', 'leaves', 'pastry', 'cabbage', 'chicken', 'leeks', 'mustard', 'seeds', 'mushrooms', 'cream', 'flour']",parsley butter oil leaves pastry cabbage chicken leeks mustard seeds mushrooms cream flour,parsley butter oil leaf pastry cabbage chicken leek mustard seed mushroom cream flour
Dinner,15.0,30.0,432,25.0,11.0,28.0,3.0,23.0,"['mushrooms', 'clove', 'sage', 'lardons']",mushrooms clove sage lardons,mushroom clove sage lardons
Dinner,10.0,12.0,516,19.0,3.0,45.0,8.0,36.0,"['spinach', 'paprika', 'oil', 'pepper', 'garlic', 'fillets', 'leeks', 'miso', 'noodles', 'ginger', 'vinegar']",spinach paprika oil pepper garlic fillets leeks miso noodles ginger vinegar,spinach paprika oil pepper garlic fillet leek miso noodle ginger vinegar
Dinner,10.0,35.0,138,3.0,1.0,21.0,7.0,3.0,"['parsnips', 'leaves', 'oil', 'orange', 'syrup', 'thyme', 'red']",parsnips leaves oil orange syrup thyme red,parsnip leaf oil orange syrup thyme red
Dinner,25.0,30.0,676,39.0,18.0,39.0,9.0,38.0,"['butter', 'oil', 'garlic', 'leaves', 'beans', 'pork', 'thyme', 'potatoes', 'mushrooms', 'milk']",butter oil garlic leaves beans pork thyme potatoes mushrooms milk,butter oil garlic leaf bean pork thyme potato mushroom milk
Dinner,25.0,35.0,249,10.0,1.0,28.0,9.0,7.0,"['oil', 'nuts', 'fat', 'orange', 'red', 'wheat', 'lemon', 'basil']",oil nuts fat orange red wheat lemon basil,oil nut fat orange red wheat lemon basil
Dinner,10.0,15.0,623,28.0,6.0,64.0,15.0,22.0,"['chickpeas', 'oil', 'extra', 'flatbread', 'red', 'clove', 'tomatoes', 'lemon', 'tahini', 'olives', 'basil']",chickpeas oil extra flatbread red clove tomatoes lemon tahini olives basil,chickpea oil extra flatbread red clove tomato lemon tahini olive basil
Dinner,10.0,50.0,388,13.0,2.0,42.0,6.0,23.0,"['parsley', 'oil', 'garlic', 'fillets', 'potatoes', 'tomatoes', 'lemon', 'oregano']",parsley oil garlic fillets potatoes tomatoes lemon oregano,parsley oil garlic fillet potato tomato lemon oregano
Dinner,10.0,20.0,756,40.0,8.0,70.0,3.0,29.0,"['butter', 'oil', 'sugar', 'peanuts', 'chicken', 'sauce', 'red', 'rice', 'cucumber', 'vinegar']",butter oil sugar peanuts chicken sauce red rice cucumber vinegar,butter oil sugar peanut chicken sauce red rice cucumber vinegar
Dinner,15.0,480.0,352,21.0,6.0,4.0,3.0,35.0,"['parsley', 'bread', 'carrots', 'chicken', 'leeks', 'thyme', 'celery', 'lemon']",parsley bread carrots chicken leeks thyme celery lemon,parsley bread carrot chicken leek thyme celery lemon
Dinner,15.0,30.0,257,15.0,8.0,25.0,1.0,4.0,"['almonds', 'butter', 'sugar', 'extra', 'cream', 'flour', 'cocoa']",almonds butter sugar extra cream flour cocoa,almond butter sugar extra cream flour cocoa
Dinner,10.0,35.0,530,18.0,4.0,40.0,10.0,48.0,"['oil', 'peas', 'fillets', 'bouillon', 'gorgonzola', 'basmati']",oil peas fillets bouillon gorgonzola basmati,oil pea fillet bouillon gorgonzola basmati
Dinner,10.0,65.0,213,0.2,0.0,31.0,5.0,1.0,"['leaves', 'sugar', 'red', 'blackberries', 'pears']",leaves sugar red blackberries pears,leaf sugar red blackberry pear
Dinner,10.0,35.0,726,44.0,20.0,42.0,5.0,38.0,"['spinach', 'butter', 'oil', 'dill', 'leaves', 'capers', 'fillets', 'cornflour', 'wine', 'potatoes', 'shallots', 'lemon', 'cream']",spinach butter oil dill leaves capers fillets cornflour wine potatoes shallots lemon cream,spinach butter oil dill leaf caper fillet cornflour wine potato shallot lemon cream
Dinner,5.0,75.0,162,8.0,1.0,20.0,2.0,2.0,"['garlic', 'oil', 'potatoes']",garlic oil potatoes,garlic oil potato
